Taxonomy ,industry,usecases,xdlink,prototypelink,,,,,,,
2.A,HT - Professional Services,Social Site Research,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FHT%20Professional%20Services%20XDs%2F%28HT%29%20Professional%20Services%20%2D%20Social%20Site%20Research%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FHT%20Professional%20Services%20XDs,https://xd.adobe.com/view/93985614-b1a0-45d9-b3b7-ceb586aa3b72-c6cb/?fullscreen,,,,,,,
2.B,HT - Professional Services,Targeted Ad,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FHT%20Professional%20Services%20XDs%2F%28HT%29%20Professional%20Services%20%2D%20Targeted%20Ad%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FHT%20Professional%20Services%20XDs,https://xd.adobe.com/view/be25da17-d7c8-48cf-83f2-25d0bc5dc2f3-eb76/?fullscreen,,,,,,,
2.K,HT - Professional Services,Abandonment,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FHT%20Professional%20Services%20XDs%2F%28HT%29%20Professional%20Services%20%2D%20Abandonment%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FHT%20Professional%20Services%20XDs,https://xd.adobe.com/view/4301a8c8-a4c9-4170-bb27-6686f61f4305-1652/?fullscreen,,,,,,,
2.L,HT - Professional Services,Personalized Chat Bot,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FHT%20Professional%20Services%20XDs%2F%28HT%29%20Professional%20Services%20%2D%20Personalized%20Chat%20Bot%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FHT%20Professional%20Services%20XDs,https://xd.adobe.com/view/d02c8a1e-b800-4a5a-889f-006ea34a9736-857f/?fullscreen,,,,,,,
2.G,HT - Professional Services,E-Sign Documentation ,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FHT%20Professional%20Services%20XDs%2F%28HT%29%20Professional%20Services%20%2D%20E%2DSign%20Documentation%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FHT%20Professional%20Services%20XDs,https://xd.adobe.com/view/2b2e7c75-4d5d-47e6-a759-e2f3d8ad3eef-7e7d/?fullscreen,,,,,,,
2.H,HT - Professional Services,Reminder Email,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FHT%20Professional%20Services%20XDs%2F%28HT%29%20Professional%20Services%20%2D%20Reminder%20Email%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FHT%20Professional%20Services%20XDs,https://xd.adobe.com/view/131838c0-ae82-4935-afbc-e5b8fb741028-464b/?fullscreen,,,,,,,
3.A,HT - Software,Social Site Research,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FHT%20Software%20XDs%2F%28HT%29%20Software%20Social%20Site%20Research%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FHT%20Software%20XDs,https://xd.adobe.com/view/28f83412-6bff-4136-8cd6-a40fb80da231-7dab/?fullscreen,,,,,,,
3.M,HT - Software,Account Registration,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FHT%20Software%20XDs%2F%28HT%29%20Software%20%2D%20Registration%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FHT%20Software%20XDs,https://xd.adobe.com/view/f63ee304-8f5e-4548-920c-9cd06278be2a-a36d/?fullscreen,,,,,,,
3.B,HT - Software,Targeted Ad,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FHT%20Software%20XDs%2F%28HT%29%20Software%20%2D%20Targeted%20Ad%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FHT%20Software%20XDs,https://xd.adobe.com/view/2619c5ec-8265-4a97-9144-7b4aa87322c3-734a/?fullscreen,,,,,,,
3.N,HT - Software,Campaign Optimization and Performance ,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FHT%20Software%20XDs%2F%28HT%29%20Software%20%2D%20Campaign%20Optimization%20and%20Performance%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FHT%20Software%20XDs,https://xd.adobe.com/view/425b7753-5954-4b56-bd1c-0b49b8ed8489-1708/?fullscreen,,,,,,,
3.G,HT - Software,E-Sign Documentation ,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FHT%20Software%20XDs%2F%28HT%29%20Software%20%2D%20E%2DSign%20Documentation%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FHT%20Software%20XDs,https://xd.adobe.com/view/b67d0f9f-87b0-464a-af1f-fbfbcd9579e5-e32e/?fullscreen,,,,,,,
3.H,HT - Software,Reminder Email,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FHT%20Software%20XDs%2F%28HT%29%20Software%20%2D%20Reminder%20Email%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FHT%20Software%20XDs,https://xd.adobe.com/view/535e689d-10e9-4f53-a943-7544e5d3ada4-060d/?fullscreen,,,,,,,
4.B,B2B - Manufacturing,Targeted Ad,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FB2B%20Manufacturing%2FB2B%20Manufacturing%20%2D%20Targeted%20Ad%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FB2B%20Manufacturing,https://xd.adobe.com/view/25c5486e-e97e-4405-a1ef-5d4d36249f0a-7096/?fullscreen,,,,,,,
4.O,B2B - Manufacturing,Personalized Content,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FB2B%20Manufacturing%2FB2B%20Manufacturing%20%2D%20Personalized%20Content%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FB2B%20Manufacturing,https://xd.adobe.com/view/2279248d-64f7-45b4-8306-46b614aa2780-772a/?fullscreen,,,,,,,
4.L,B2B - Manufacturing,Personalized Chat Bot,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FB2B%20Manufacturing%2FB2B%20Manufacturing%20%2D%20Personalized%20Chat%20Bot%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FB2B%20Manufacturing,https://xd.adobe.com/view/17319a1a-0e34-402d-a895-3dc13da2859d-4262/?fullscreen,,,,,,,
4.G,B2B - Manufacturing,E-Sign Documentation ,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FB2B%20Manufacturing%2FB2B%20Manufacturing%20%2D%20E%2DSign%20Documentation%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FB2B%20Manufacturing,https://xd.adobe.com/view/a28f0189-6ac2-43ae-affb-7d7444f67441-f7dc/?fullscreen,,,,,,,
4.H,B2B - Manufacturing,Reminder Email,https://adobe.sharepoint.com/sites/DSSGlobalServicesToolsWeeklyDashboard/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FB2B%20Manufacturing%2FB2B%20Manufacturing%20%2D%20Reminder%20Email%2Exd&parent=%2Fsites%2FDSSGlobalServicesToolsWeeklyDashboard%2FShared%20Documents%2FDemo%20Strategy%2FProject%20Avengers%2FB2B%20Manufacturing,https://xd.adobe.com/view/c5e27899-4531-44a8-8da9-44768ad85548-90b1/?fullscreen,,,,,,,
